ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
1,APPLE INC.,334220,108949000,66288000,63930000,70898000,61344000,60024000,71230000,52503000,48999000,55241000,94680000,57411000,55256000,59531000,48351000,45687000,53394000,39510000,37037000,41733000,351002000,323888000,338516000,365725000,375319000,321686000,290345000,231839000,207000000,176064000,62639000,90943000,100557000,66301000,74181000,67155000,41601000,25077000,40546000,29129000,125481000,105392000,105718000,115929000,100814000,79006000,80610000,63448000,43658000,38542000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1209000,1200000,1535000,-11284000,-11056000,-12547000,-10903000,-8200000,-8300000,-9200000,-6900000,-5800000,-2600000
2,EXXON MOBIL CORP,324110,n.a.,-30653000,11664000,20839000,12074000,936000,12883000,34082000,40301000,49881000,n.a.,-22440000,14340000,20840000,19710000,7840000,16150000,32520000,32580000,44880000,n.a.,332750000,362597000,346196000,348691000,330314000,336758000,349493000,346808000,333795000,n.a.,4364000,3089000,3042000,3177000,3657000,3705000,4616000,4644000,9582000,n.a.,56363000,63989000,57138000,57771000,47638000,53976000,64633000,71724000,64139000,n.a.,684000,1580000,2612000,3045000,2615000,2802000,4938000,7831000,9758000,n.a.,-20098000,-18998000,-18745000,-19893000,-22308000,-18048000,-17297000,-17182000,-15888000
3,FORD MOTOR CO,336111,n.a.,-4408000,530000,3205000,4882000,5786000,6981000,332000,12809000,5799000,n.a.,-1279000,47000,3677000,7731000,4589000,7373000,1231000,11953000,5613000,n.a.,267261000,258537000,256540000,258496000,237951000,224925000,208615000,202179000,189406000,n.a.,49961000,34651000,33951000,38927000,38827000,35176000,31150000,36568000,35943000,n.a.,97192000,98132000,95569000,94600000,90281000,81014000,76745000,73804000,73041000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8751000,-9689000,-9280000,-9122000,-9023000,-7993000,-7385000,-6504000,-5486000
4,GENERAL MOTORS COMPANY,336111,n.a.,9534000,5481000,4445000,8661000,8686000,5538000,1530000,5131000,-30363000,n.a.,6247000,6581000,7916000,-3880000,9427000,9687000,2804000,3770000,4859000,n.a.,235194000,228037000,227339000,212482000,221690000,194338000,177501000,166344000,149422000,n.a.,29038000,23243000,26810000,23825000,24415000,23401000,28176000,28993000,27410000,n.a.,79910000,84905000,82237000,76890000,85181000,71217000,65657000,62412000,53992000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12532000,-13858000,-12895000,-11689000,-9361000,-7163000,-6562000,-4627000,-4115000
5,CHEVRON CORPORATION,324110,n.a.,-4545000,2093000,15451000,5206000,-4320000,-146000,23600000,27726000,39492000,n.a.,-5543000,2924000,14824000,9195000,-497000,4587000,19241000,21423000,26179000,n.a.,239790000,237428000,253863000,253806000,260078000,264540000,266026000,253753000,232982000,n.a.,5627000,5749000,10345000,4822000,7001000,11332000,13215000,16516000,21913000,n.a.,22183000,26530000,27171000,27737000,31785000,25467000,31926000,33018000,34212000,n.a.,1873000,2556000,2565000,2713000,2077000,2191000,3808000,4427000,5571000,n.a.,-19508000,-29218000,-19419000,-19349000,-19457000,-21037000,-16793000,-14186000,-13413000
6,JOHNSON & JOHNSON,325412,n.a.,21334000,17711000,19093000,18982000,20900000,20242000,21034000,16492400,15981000,n.a.,14714000,15119000,15297000,1300000,16540000,15409000,16323000,13831000,10853000,n.a.,174894000,157728000,152954000,157303000,141208000,133411000,131119000,132683000,121347000,n.a.,25185000,19287000,19687000,18296000,41907000,38376000,33089000,29206000,21089000,n.a.,42493000,35964000,31230000,30537000,26287000,27747000,25085000,25675000,24262000,n.a.,1392000,2266000,818000,1854000,971000,750000,500000,770000,1064000,n.a.,-2600000,-2509000,-2529000,-2642000,-2554000,-2546000,-2497000,-2741000,-3666000
7,GENERAL ELECTRIC COMPANY,336412,n.a.,-1405000,4867000,-15971000,-6494000,9892000,8721000,10570000,6842000,15629000,n.a.,5230000,-5439000,-22801000,-8920000,6844000,-6144000,15233000,13058000,13641000,n.a.,256211000,265177000,311072000,369245000,365183000,493071000,654954000,656560000,684999000,n.a.,43849000,45699000,31124000,43967000,48129000,70483000,70025000,88555000,77268000,n.a.,54613000,78865000,116038000,138215000,130577000,154385000,155613000,182835000,200914000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4636000,-4026000,-4419000,-4332000,-4997000,-4847000,-4953000,-5202000,-9192000
8,INTEL CORP,334413,n.a.,23802000,22428000,23244000,18394000,14848000,14356000,15612000,12492000,14638000,n.a.,20899000,21048000,21053000,9601000,10316000,11420000,11704000,9620000,11005000,n.a.,153091000,136524000,127963000,123249000,113327000,101459000,91900000,92358000,84351000,n.a.,23895000,13123000,11650000,14002000,17099000,25313000,14054000,20087000,18162000,n.a.,24754000,22310000,16626000,17421000,20302000,15646000,16011000,13568000,12898000,n.a.,756000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10482000,-9204000,-7520000,-6752000,-6266000,-7821000,-7380000,-6790000,-6357000
9,PROCTER & GAMBLE CO,325611,18296000,16465000,6385000,14540000,14685000,14361000,14029000,13910000,13817000,13292000,14035000,12764000,3634000,9485000,15079000,10253000,6777000,11390000,11068000,10500000,119307000,120700000,115095000,118310000,120406000,127136000,129495000,144266000,139263000,132244000,10288000,16181000,10287000,11850000,15137000,13348000,11603000,10686000,5947000,4436000,33132000,32976000,30011000,28237000,30210000,30770000,29790000,33726000,30037000,24907000,n.a.,n.a.,341000,268000,449000,397000,845000,711000,n.a.,414000,-2417000,-2653000,-2475000,-2532000,-2495000,-2690000,-2677000,-2627000,-2454000,-2704000
10,INTERNATIONAL BUSINESS MACHINES CORP,541512,n.a.,8734000,11206000,12421000,11979000,13886000,16562000,21830000,21316000,22999000,n.a.,5590000,9431000,8728000,5753000,11872000,13190000,12023000,16483000,16604000,n.a.,155971000,152186000,123382000,125356000,117470000,110495000,117271000,126223000,119213000,n.a.,13812000,8868000,11999000,12592000,8538000,8200000,8500000,11102000,11138000,n.a.,39869000,37701000,38227000,37363000,36275000,34269000,39581000,40154000,43625000,n.a.,3301000,2839000,3046000,4219000,3235000,2847000,5084000,4633000,4948000,n.a.,-4227000,-4209000,-3127000,-3021000,-2837000,-2662000,-3145000,-3327000,-3392000
